maintenance_id,station_id,timestamp,type,failure_type,duration_min,component,action_taken,successful_restart,date,year,month,month_name,week,day_name
MT000014,ST02,2026-01-06 01:03:05.847103802,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000015,ST02,2026-01-06 03:48:00.483546043,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000016,ST04,2026-01-06 00:00:05.757683046,Corrective,Fixture Fault,13.5,Fixture Fault,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000017,ST04,2026-01-06 02:45:21.625300799,Corrective,Component Shortage,13.5,Component Shortage,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000018,ST05,2026-01-06 02:33:58.259199383,Corrective,Packaging Material Shortage,13.5,Packaging Material Shortage,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000019,ST02,2026-01-06 07:48:35.806086710,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000020,ST03,2026-01-06 06:49:16.708828151,Corrective,Inspection Calibration,13.5,Inspection Calibration,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000021,ST03,2026-01-06 10:00:11.016408750,Corrective,Vision System Fault,11.57,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000022,ST05,2026-01-06 13:16:34.881044918,Corrective,Packaging Jam,13.5,Packaging Jam,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000023,ST02,2026-01-06 18:16:08.603033881,Corrective,Gripper Fault,13.5,Gripper Fault,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000024,ST03,2026-01-06 15:30:00.003490426,Corrective,Vision System Fault,13.5,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000025,ST04,2026-01-06 18:02:15.076273842,Corrective,Functional Test Failure,13.22,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000026,ST01,2026-01-07 00:17:25.196810453,Corrective,Spindle Fault,13.5,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000027,ST02,2026-01-06 23:17:49.018605213,Corrective,Communication Fault,13.5,Communication Fault,"Inspect, reset or replace affected component",True,2026-01-06,2026,1,January,2,Tuesday
MT000028,ST02,2026-01-07 02:03:29.891870886,Corrective,Communication Fault,13.5,Communication Fault,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000029,ST02,2026-01-07 03:03:02.054086662,Corrective,Gripper Fault,8.67,Gripper Fault,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000030,ST05,2026-01-07 05:18:26.413667122,Corrective,Packaging Material Shortage,13.5,Packaging Material Shortage,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000031,ST01,2026-01-07 07:45:12.077400902,Corrective,Tool Change,9.6,Tool Change,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000032,ST02,2026-01-07 11:31:16.344399485,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000033,ST04,2026-01-07 11:32:03.236642999,Corrective,Product Changeover,13.5,Product Changeover,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000034,ST05,2026-01-07 09:33:40.382490213,Corrective,Label Sensor Fault,13.5,Label Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000035,ST02,2026-01-07 15:47:09.160746273,Corrective,Communication Fault,13.5,Communication Fault,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000036,ST03,2026-01-07 18:01:32.303726843,Corrective,Measurement Sensor Fault,9.13,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000037,ST04,2026-01-07 19:47:25.505396257,Corrective,Functional Test Failure,13.5,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000038,ST04,2026-01-07 21:00:35.391745088,Corrective,Component Shortage,13.5,Component Shortage,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000039,ST01,2026-01-07 22:30:11.520263197,Corrective,Coolant Sensor Alarm,13.5,Coolant Sensor Alarm,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000040,ST01,2026-01-08 01:45:40.330028210,Corrective,Spindle Fault,13.5,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000041,ST01,2026-01-08 04:15:00.000000000,Preventive,,10.67,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-08,2026,1,January,2,Thursday
MT000042,ST02,2026-01-08 02:16:03.290967185,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000043,ST02,2026-01-08 02:31:05.276381979,Corrective,Communication Fault,13.5,Communication Fault,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000044,ST03,2026-01-08 03:03:30.449730439,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000045,ST04,2026-01-07 22:01:42.718536988,Corrective,Product Changeover,13.5,Product Changeover,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000046,ST04,2026-01-07 22:46:38.021667170,Corrective,Functional Test Failure,13.5,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-07,2026,1,January,2,Wednesday
MT000047,ST04,2026-01-08 00:48:33.666061553,Corrective,Functional Test Failure,11.49,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000048,ST04,2026-01-08 04:32:50.849177555,Corrective,Functional Test Failure,13.5,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000049,ST05,2026-01-08 03:17:16.618471574,Corrective,Packaging Jam,13.5,Packaging Jam,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000050,ST05,2026-01-08 03:32:12.808110590,Corrective,Label Sensor Fault,13.5,Label Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000051,ST04,2026-01-08 09:17:32.611795264,Corrective,Product Changeover,13.5,Product Changeover,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000052,ST04,2026-01-08 12:04:50.359369785,Corrective,Product Changeover,13.5,Product Changeover,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000053,ST04,2026-01-08 12:18:08.551170025,Corrective,Component Shortage,13.5,Component Shortage,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000054,ST01,2026-01-08 14:18:20.794624909,Corrective,Spindle Fault,13.14,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000055,ST01,2026-01-08 16:30:00.000000000,Preventive,,5.55,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-08,2026,1,January,2,Thursday
MT000056,ST01,2026-01-08 19:00:59.900921412,Corrective,Spindle Fault,13.5,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000057,ST02,2026-01-08 15:03:10.134985424,Corrective,Robot Position Fault,13.5,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000058,ST03,2026-01-08 20:15:15.704153529,Corrective,Inspection Calibration,13.5,Inspection Calibration,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000059,ST04,2026-01-08 15:32:14.031647651,Corrective,Product Changeover,13.5,Product Changeover,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000060,ST04,2026-01-08 21:04:23.475740319,Corrective,Component Shortage,13.5,Component Shortage,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000061,ST02,2026-01-08 22:33:41.445226452,Corrective,Robot Position Fault,13.15,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-08,2026,1,January,2,Thursday
MT000062,ST02,2026-01-09 02:16:23.465156120,Corrective,Communication Fault,13.5,Communication Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000063,ST03,2026-01-09 02:04:06.172931800,Corrective,Vision System Fault,13.5,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000064,ST04,2026-01-08 22:15:00.000000000,Preventive,,5.84,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-08,2026,1,January,2,Thursday
MT000065,ST04,2026-01-09 05:18:48.609816311,Corrective,Component Shortage,13.5,Component Shortage,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000066,ST01,2026-01-09 09:45:00.000000000,Preventive,,6.71,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-09,2026,1,January,2,Friday
MT000067,ST01,2026-01-09 13:04:54.795723448,Corrective,Tool Wear,13.5,Tool Wear,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000068,ST02,2026-01-09 08:03:11.007874307,Corrective,Communication Fault,13.5,Communication Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000069,ST03,2026-01-09 08:31:36.280631495,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000070,ST03,2026-01-09 12:17:31.964999972,Corrective,Inspection Calibration,13.5,Inspection Calibration,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000071,ST04,2026-01-09 10:16:41.324399020,Corrective,Component Shortage,8.57,Component Shortage,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000072,ST05,2026-01-09 08:46:53.987985677,Corrective,Packaging Jam,13.5,Packaging Jam,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000073,ST02,2026-01-09 18:19:48.861148200,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000074,ST02,2026-01-09 19:01:26.849359535,Corrective,Communication Fault,13.5,Communication Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000075,ST03,2026-01-09 17:32:00.585577384,Corrective,Vision System Fault,11.65,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000076,ST03,2026-01-09 18:49:36.059095822,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000077,ST03,2026-01-09 20:32:49.667244967,Corrective,Inspection Calibration,13.5,Inspection Calibration,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000078,ST04,2026-01-09 14:03:26.910460458,Corrective,Fixture Fault,13.5,Fixture Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000079,ST04,2026-01-09 17:45:00.000000000,Preventive,,8.95,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-09,2026,1,January,2,Friday
MT000080,ST04,2026-01-09 18:32:57.574321325,Corrective,Functional Test Failure,13.5,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000081,ST01,2026-01-09 23:30:59.961892394,Corrective,Spindle Fault,13.5,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000082,ST01,2026-01-09 23:45:34.183580833,Corrective,Tool Wear,12.79,Tool Wear,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000083,ST02,2026-01-10 04:17:26.500473901,Corrective,Robot Position Fault,13.5,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-10,2026,1,January,2,Saturday
MT000084,ST03,2026-01-09 23:15:00.000000000,Preventive,,10.01,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-09,2026,1,January,2,Friday
MT000085,ST04,2026-01-10 01:15:13.171384089,Corrective,Product Changeover,13.5,Product Changeover,"Inspect, reset or replace affected component",True,2026-01-10,2026,1,January,2,Saturday
MT000086,ST04,2026-01-10 05:00:14.255327162,Corrective,Fixture Fault,13.5,Fixture Fault,"Inspect, reset or replace affected component",True,2026-01-10,2026,1,January,2,Saturday
MT000087,ST05,2026-01-09 22:32:46.182520156,Corrective,Label Sensor Fault,13.5,Label Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-09,2026,1,January,2,Friday
MT000088,ST02,2026-01-12 10:33:47.845970756,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000089,ST02,2026-01-12 11:01:18.063410380,Corrective,Robot Position Fault,8.02,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000090,ST02,2026-01-12 13:15:44.440176604,Corrective,Part Presence Sensor,11.9,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000091,ST03,2026-01-12 08:45:28.272919921,Corrective,Inspection Calibration,13.5,Inspection Calibration,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000092,ST04,2026-01-12 09:15:12.146347298,Corrective,Product Changeover,13.5,Product Changeover,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000093,ST03,2026-01-12 14:30:03.346376193,Corrective,Vision System Fault,11.41,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000094,ST03,2026-01-12 16:32:47.329427729,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000095,ST03,2026-01-12 18:03:58.248812651,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000096,ST03,2026-01-12 18:33:55.995754822,Corrective,Inspection Calibration,13.5,Inspection Calibration,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000097,ST01,2026-01-12 23:31:59.742498328,Corrective,Tool Change,13.5,Tool Change,"Inspect, reset or replace affected component",True,2026-01-12,2026,1,January,3,Monday
MT000098,ST01,2026-01-13 04:33:33.116294231,Corrective,Tool Wear,8.19,Tool Wear,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000099,ST02,2026-01-13 02:30:42.685865583,Corrective,Robot Position Fault,13.5,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000100,ST02,2026-01-13 05:18:59.779789787,Corrective,Robot Position Fault,13.5,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000101,ST04,2026-01-13 03:03:46.312786657,Corrective,Functional Test Failure,9.21,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000102,ST01,2026-01-13 06:00:00.000000000,Preventive,,5.3,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-13,2026,1,January,3,Tuesday
MT000103,ST01,2026-01-13 07:31:06.366454254,Corrective,Spindle Fault,12.18,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000104,ST01,2026-01-13 08:30:00.000000000,Preventive,,11.94,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-13,2026,1,January,3,Tuesday
MT000105,ST01,2026-01-13 11:18:21.198994800,Corrective,Coolant Sensor Alarm,13.5,Coolant Sensor Alarm,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000106,ST01,2026-01-13 12:33:56.790134732,Corrective,Tool Change,13.5,Tool Change,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000107,ST02,2026-01-13 06:01:13.151729908,Corrective,Part Presence Sensor,8.33,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000108,ST02,2026-01-13 08:00:00.000000000,Preventive,,5.15,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-13,2026,1,January,3,Tuesday
MT000109,ST02,2026-01-13 09:34:13.904633959,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000110,ST03,2026-01-13 12:47:08.864737056,Corrective,Vision System Fault,12.55,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000111,ST04,2026-01-13 07:00:31.733672068,Corrective,Functional Test Failure,13.5,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000112,ST02,2026-01-13 15:45:30.322947711,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000113,ST05,2026-01-13 15:15:59.838806049,Corrective,Packaging Jam,13.5,Packaging Jam,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000114,ST01,2026-01-14 00:48:31.002286355,Corrective,Spindle Fault,13.5,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000115,ST02,2026-01-13 23:16:11.078358453,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000116,ST02,2026-01-14 02:49:51.365636988,Corrective,Gripper Fault,13.34,Gripper Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000117,ST03,2026-01-14 02:02:17.831623985,Corrective,Vision System Fault,13.5,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000118,ST03,2026-01-14 04:31:24.118253577,Corrective,Vision System Fault,13.5,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000119,ST04,2026-01-13 22:18:54.279953937,Corrective,Functional Test Failure,8.98,Functional Test Failure,"Inspect, reset or replace affected component",True,2026-01-13,2026,1,January,3,Tuesday
MT000120,ST05,2026-01-14 00:34:51.614689432,Corrective,Packaging Material Shortage,13.5,Packaging Material Shortage,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000121,ST02,2026-01-14 07:03:49.319760768,Corrective,Robot Position Fault,13.5,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000122,ST03,2026-01-14 10:16:57.383056622,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000123,ST03,2026-01-14 12:47:20.152240005,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000124,ST01,2026-01-14 19:31:48.477079926,Corrective,Tool Wear,13.5,Tool Wear,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000125,ST03,2026-01-14 14:47:01.537822001,Corrective,Vision System Fault,13.5,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000126,ST03,2026-01-14 16:19:34.262636904,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000127,ST04,2026-01-14 15:30:00.000000000,Preventive,,7.16,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-14,2026,1,January,3,Wednesday
MT000128,ST01,2026-01-14 22:31:11.923251881,Corrective,Spindle Fault,8.93,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000129,ST02,2026-01-14 23:49:18.210609762,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000130,ST02,2026-01-15 02:46:48.644635044,Corrective,Robot Position Fault,13.5,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000131,ST03,2026-01-14 23:16:58.512160704,Corrective,Inspection Calibration,13.5,Inspection Calibration,"Inspect, reset or replace affected component",True,2026-01-14,2026,1,January,3,Wednesday
MT000132,ST05,2026-01-15 04:18:48.434274638,Corrective,Packaging Jam,13.5,Packaging Jam,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000133,ST01,2026-01-15 06:02:05.581555701,Corrective,Spindle Fault,13.5,Spindle Fault,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000134,ST01,2026-01-15 06:30:00.000000000,Preventive,,11.18,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-15,2026,1,January,3,Thursday
MT000135,ST03,2026-01-15 08:45:00.000000000,Preventive,,5.0,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-15,2026,1,January,3,Thursday
MT000136,ST05,2026-01-15 10:04:03.915362142,Corrective,Label Sensor Fault,10.87,Label Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000137,ST05,2026-01-15 13:00:00.000000000,Preventive,,10.12,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-15,2026,1,January,3,Thursday
MT000138,ST01,2026-01-15 14:46:16.307861641,Corrective,Tool Wear,13.5,Tool Wear,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000139,ST02,2026-01-15 17:30:47.935668634,Corrective,Gripper Fault,8.13,Gripper Fault,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000140,ST02,2026-01-15 20:03:12.410045767,Corrective,Robot Position Fault,13.5,Robot Position Fault,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000141,ST03,2026-01-15 19:47:39.923646697,Corrective,Vision System Fault,13.5,Vision System Fault,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000142,ST04,2026-01-15 19:33:31.868450987,Corrective,Product Changeover,13.5,Product Changeover,"Inspect, reset or replace affected component",True,2026-01-15,2026,1,January,3,Thursday
MT000143,ST01,2026-01-16 03:18:09.813092989,Corrective,Tool Change,13.5,Tool Change,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000144,ST02,2026-01-16 00:15:00.000000000,Preventive,,10.04,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-16,2026,1,January,3,Friday
MT000145,ST02,2026-01-16 01:00:00.000000000,Preventive,,6.38,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-16,2026,1,January,3,Friday
MT000146,ST02,2026-01-16 03:02:58.913949810,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000147,ST02,2026-01-16 04:01:07.618168295,Corrective,Part Presence Sensor,13.5,Part Presence Sensor,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000148,ST01,2026-01-16 11:01:46.388128332,Corrective,Coolant Sensor Alarm,13.5,Coolant Sensor Alarm,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000149,ST01,2026-01-16 12:19:04.837672096,Corrective,Tool Change,11.02,Tool Change,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000150,ST02,2026-01-16 08:16:10.160323091,Corrective,Gripper Fault,13.5,Gripper Fault,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000151,ST02,2026-01-16 12:15:06.294898885,Corrective,Gripper Fault,13.5,Gripper Fault,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000152,ST03,2026-01-16 08:32:41.726701562,Corrective,Measurement Sensor Fault,13.5,Measurement Sensor Fault,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000153,ST05,2026-01-16 09:48:17.911344644,Corrective,Packaging Jam,13.5,Packaging Jam,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
MT000154,ST01,2026-01-16 21:15:00.000000000,Preventive,,10.36,Scheduled Inspection,Preventive inspection and servicing,True,2026-01-16,2026,1,January,3,Friday
MT000155,ST02,2026-01-16 14:02:15.825195557,Corrective,Gripper Fault,13.5,Gripper Fault,"Inspect, reset or replace affected component",True,2026-01-16,2026,1,January,3,Friday
