record_id,timestamp,date,shift,station_id,product_id,planned_minutes,downtime_minutes,runtime_minutes,ideal_cycle_sec,actual_cycle_sec,total_quantity,good_quantity,rejected_quantity,machine_status,operator_team,downtime_id,year,month,month_name,week,day_name,hour,availability_numerator_min,availability_denominator_min,performance_numerator_sec,performance_denominator_sec,quality_numerator_units,quality_denominator_units,scrap_rate,cycle_variance_pct,has_downtime,is_planned_maintenance
PR0000018,2026-01-05 10:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,64.09,14,14,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,877.8000000000001,900.0,14,14,0.0,0.022169059011164283,False,False
PR0000019,2026-01-05 10:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000020,2026-01-05 10:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,64.42,13,13,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,815.1,900.0,13,13,0.0,0.027432216905901096,False,False
PR0000021,2026-01-05 11:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000022,2026-01-05 11:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000023,2026-01-05 11:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000024,2026-01-05 11:45:00,2026-01-05,A,ST01,ACT-100,15,13.5,1.5,62.7,62.7,1,1,0,Downtime,Team-A,DT000001,2026,1,January,2,Monday,11,1.5,15,62.7,90.0,1,1,0.0,0.0,True,False
PR0000025,2026-01-05 12:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000026,2026-01-05 12:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.87,14,13,1,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,877.8000000000001,900.0,13,14,0.07142857142857142,0.018660287081339627,False,False
PR0000027,2026-01-05 12:30:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.1,14,14,0,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,877.8000000000001,900.0,14,14,0.0,0.006379585326953725,False,False
PR0000028,2026-01-05 12:45:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,63.19,14,13,1,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,877.8000000000001,900.0,13,14,0.07142857142857142,0.00781499202551826,False,False
PR0000029,2026-01-05 13:00:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,13,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000030,2026-01-05 13:15:00,2026-01-05,A,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-A,,2026,1,January,2,Monday,13,15.0,15,877.8000000000001,900.0,14,14,0.0,0.0,False,False
PR0000031,2026-01-05 06:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000032,2026-01-05 06:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000033,2026-01-05 06:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000034,2026-01-05 06:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000035,2026-01-05 07:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.68,15,15,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,855.0,900.0,15,15,0.0,0.011929824561403504,False,False
PR0000036,2026-01-05 07:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,14,1,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,855.0,900.0,14,15,0.06666666666666667,0.0,False,False
PR0000037,2026-01-05 07:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000038,2026-01-05 07:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.1,15,15,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,855.0,900.0,15,15,0.0,0.019298245614035113,False,False
PR0000039,2026-01-05 08:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000040,2026-01-05 08:15:00,2026-01-05,A,ST02,ACT-100,15,13.5,1.5,57.0,58.32,1,1,0,Downtime,Team-A,DT000002,2026,1,January,2,Monday,8,1.5,15,57.0,90.0,1,1,0.0,0.02315789473684211,True,False
PR0000041,2026-01-05 08:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.76,15,15,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,855.0,900.0,15,15,0.0,0.013333333333333298,False,False
PR0000042,2026-01-05 08:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000043,2026-01-05 09:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000044,2026-01-05 09:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.79,15,15,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,855.0,900.0,15,15,0.0,0.013859649122807002,False,False
PR0000045,2026-01-05 09:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000046,2026-01-05 09:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.7,15,15,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,855.0,900.0,15,15,0.0,0.029824561403508823,False,False
PR0000047,2026-01-05 10:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.32,15,15,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,855.0,900.0,15,15,0.0,0.005614035087719303,False,False
PR0000048,2026-01-05 10:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.21,15,15,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,855.0,900.0,15,15,0.0,0.02122807017543861,False,False
PR0000049,2026-01-05 10:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.5,15,15,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,855.0,900.0,15,15,0.0,0.02631578947368421,False,False
PR0000050,2026-01-05 10:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.89,15,15,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,855.0,900.0,15,15,0.0,0.033157894736842115,False,False
PR0000051,2026-01-05 11:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.6,15,15,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,855.0,900.0,15,15,0.0,0.01052631578947371,False,False
PR0000052,2026-01-05 11:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.34,15,15,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,855.0,900.0,15,15,0.0,0.02350877192982462,False,False
PR0000053,2026-01-05 11:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.25,15,15,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,855.0,900.0,15,15,0.0,0.021929824561403508,False,False
PR0000054,2026-01-05 11:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000055,2026-01-05 12:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000056,2026-01-05 12:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.39,15,14,1,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,855.0,900.0,14,15,0.06666666666666667,0.024385964912280712,False,False
PR0000057,2026-01-05 12:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,14,1,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,855.0,900.0,14,15,0.06666666666666667,0.0,False,False
PR0000058,2026-01-05 12:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.05,15,15,0,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,855.0,900.0,15,15,0.0,0.018421052631578897,False,False
PR0000059,2026-01-05 13:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,13,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000060,2026-01-05 13:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,,2026,1,January,2,Monday,13,15.0,15,855.0,900.0,15,15,0.0,0.0,False,False
PR0000061,2026-01-05 06:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,61.43,14,13,1,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,837.9,900.0,13,14,0.07142857142857142,0.026399331662489527,False,False
PR0000062,2026-01-05 06:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.93,15,15,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,897.75,900.0,15,15,0.0,0.0013366750208855186,False,False
PR0000063,2026-01-05 06:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.31,14,13,1,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,837.9,900.0,13,14,0.07142857142857142,0.0076858813700919106,False,False
PR0000064,2026-01-05 06:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.23,14,13,1,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,837.9,900.0,13,14,0.07142857142857142,0.006349206349206273,False,False
PR0000065,2026-01-05 07:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.2,14,14,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,837.9,900.0,14,14,0.0,0.005847953216374293,False,False
PR0000066,2026-01-05 07:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.11,14,14,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,837.9,900.0,14,14,0.0,0.004344193817877995,False,False
PR0000067,2026-01-05 07:30:00,2026-01-05,A,ST03,ACT-100,15,13.5,1.5,59.85,59.85,1,1,0,Downtime,Team-A,DT000003,2026,1,January,2,Monday,7,1.5,15,59.85,90.0,1,1,0.0,0.0,True,False
PR0000068,2026-01-05 07:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.97,15,15,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,897.75,900.0,15,15,0.0,0.002005012531328278,False,False
PR0000069,2026-01-05 08:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.67,14,14,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,837.9,900.0,14,14,0.0,0.013700918964076863,False,False
PR0000070,2026-01-05 08:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,897.75,900.0,15,15,0.0,0.0,False,False
PR0000071,2026-01-05 08:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.87,15,15,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,897.75,900.0,15,15,0.0,0.0003341687552213203,False,False
PR0000072,2026-01-05 08:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.51,14,14,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,837.9,900.0,14,14,0.0,0.011027568922305707,False,False
PR0000073,2026-01-05 09:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,897.75,900.0,15,15,0.0,0.0,False,False
PR0000074,2026-01-05 09:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.34,14,14,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,837.9,900.0,14,14,0.0,0.04160401002506269,False,False
PR0000075,2026-01-05 09:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.41,14,14,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,837.9,900.0,14,14,0.0,0.009356725146198749,False,False
PR0000076,2026-01-05 09:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.32,14,14,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,837.9,900.0,14,14,0.0,0.04126984126984125,False,False
PR0000077,2026-01-05 10:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,897.75,900.0,15,15,0.0,0.0,False,False
PR0000078,2026-01-05 10:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.65,14,14,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,837.9,900.0,14,14,0.0,0.0467836257309941,False,False
PR0000079,2026-01-05 10:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.16,14,14,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,837.9,900.0,14,14,0.0,0.038596491228070094,False,False
PR0000080,2026-01-05 10:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,61.83,14,14,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,837.9,900.0,14,14,0.0,0.03308270676691724,False,False
PR0000081,2026-01-05 11:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,897.75,900.0,15,15,0.0,0.0,False,False
PR0000082,2026-01-05 11:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.94,15,15,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,897.75,900.0,15,15,0.0,0.001503759398496179,False,False
PR0000083,2026-01-05 11:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.88,14,14,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,837.9,900.0,14,14,0.0,0.01720969089390144,False,False
PR0000084,2026-01-05 11:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.96,15,15,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,897.75,900.0,15,15,0.0,0.0018379281537176178,False,False
PR0000085,2026-01-05 12:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,897.75,900.0,15,15,0.0,0.0,False,False
PR0000086,2026-01-05 12:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.16,14,13,1,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,837.9,900.0,13,14,0.07142857142857142,0.005179615705931414,False,False
PR0000087,2026-01-05 12:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,61.27,14,13,1,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,837.9,900.0,13,14,0.07142857142857142,0.02372598162071849,False,False
PR0000088,2026-01-05 12:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.02,14,14,0,Running,Team-A,,2026,1,January,2,Monday,12,15.0,15,837.9,900.0,14,14,0.0,0.036257309941520495,False,False
PR0000089,2026-01-05 13:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,14,1,Running,Team-A,,2026,1,January,2,Monday,13,15.0,15,897.75,900.0,14,15,0.06666666666666667,0.0,False,False
PR0000090,2026-01-05 13:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,14,1,Running,Team-A,,2026,1,January,2,Monday,13,15.0,15,897.75,900.0,14,15,0.06666666666666667,0.0,False,False
PR0000091,2026-01-05 06:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,889.2,900.0,12,13,0.07692307692307693,0.0,False,False
PR0000092,2026-01-05 06:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.85,13,13,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,889.2,900.0,13,13,0.0,0.006578947368420886,False,False
PR0000093,2026-01-05 06:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,889.2,900.0,12,13,0.07692307692307693,0.0,False,False
PR0000094,2026-01-05 06:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,,2026,1,January,2,Monday,6,15.0,15,889.2,900.0,13,13,0.0,0.0,False,False
PR0000095,2026-01-05 07:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.46,12,12,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,820.8000000000001,900.0,12,12,0.0,0.03011695906432731,False,False
PR0000096,2026-01-05 07:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,889.2,900.0,13,13,0.0,0.0,False,False
PR0000097,2026-01-05 07:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,889.2,900.0,12,13,0.07692307692307693,0.0,False,False
PR0000098,2026-01-05 07:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,71.43,12,12,0,Running,Team-A,,2026,1,January,2,Monday,7,15.0,15,820.8000000000001,900.0,12,12,0.0,0.0442982456140351,False,False
PR0000099,2026-01-05 08:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,889.2,900.0,12,13,0.07692307692307693,0.0,False,False
PR0000100,2026-01-05 08:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.75,13,13,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,889.2,900.0,13,13,0.0,0.005116959064327402,False,False
PR0000101,2026-01-05 08:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.37,12,11,1,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,820.8000000000001,900.0,11,12,0.08333333333333333,0.028801169590643255,False,False
PR0000102,2026-01-05 08:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,,2026,1,January,2,Monday,8,15.0,15,889.2,900.0,13,13,0.0,0.0,False,False
PR0000103,2026-01-05 09:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,889.2,900.0,12,13,0.07692307692307693,0.0,False,False
PR0000104,2026-01-05 09:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,71.08,12,12,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,820.8000000000001,900.0,12,12,0.0,0.03918128654970749,False,False
PR0000105,2026-01-05 09:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.57,12,12,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,820.8000000000001,900.0,12,12,0.0,0.031725146198830226,False,False
PR0000106,2026-01-05 09:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,69.72,12,12,0,Running,Team-A,,2026,1,January,2,Monday,9,15.0,15,820.8000000000001,900.0,12,12,0.0,0.019298245614034988,False,False
PR0000107,2026-01-05 10:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.52,13,11,2,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,889.2,900.0,11,13,0.15384615384615385,0.0017543859649121394,False,False
PR0000108,2026-01-05 10:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.08,12,11,1,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,820.8000000000001,900.0,11,12,0.08333333333333333,0.02456140350877182,False,False
PR0000109,2026-01-05 10:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,889.2,900.0,13,13,0.0,0.0,False,False
PR0000110,2026-01-05 10:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,71.58,12,12,0,Running,Team-A,,2026,1,January,2,Monday,10,15.0,15,820.8000000000001,900.0,12,12,0.0,0.046491228070175326,False,False
PR0000111,2026-01-05 11:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,889.2,900.0,13,13,0.0,0.0,False,False
PR0000112,2026-01-05 11:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.07,12,12,0,Running,Team-A,,2026,1,January,2,Monday,11,15.0,15,820.8000000000001,900.0,12,12,0.0,0.02441520467836239,False,False
