target_id,date,shift,product_id,target_good_output,constraint_station_id,actual_total_output,actual_good_output,actual_rejected_output,planned_minutes,output_attainment,output_gap_units,takt_time_sec,actual_throughput_units_per_hour
TG00043,2026-01-23,A,ACT-100,347,ST04,382,377,5,450,1.0864553314121037,30,77.80979827089337,50.266666666666666
TG00044,2026-01-23,B,ACT-100,347,ST04,356,350,6,450,1.0086455331412103,3,77.80979827089337,46.666666666666664
TG00045,2026-01-23,C,ACT-200,330,ST04,272,269,3,450,0.8151515151515152,-61,81.81818181818181,35.86666666666667
TG00046,2026-01-26,A,ACT-200,330,ST04,361,354,7,450,1.0727272727272728,24,81.81818181818181,47.2
TG00047,2026-01-26,B,ACT-100,347,ST04,365,359,6,450,1.0345821325648414,12,77.80979827089337,47.86666666666667
TG00048,2026-01-26,C,ACT-100,347,ST04,311,305,6,450,0.8789625360230547,-42,77.80979827089337,40.666666666666664
TG00049,2026-01-27,A,ACT-100,347,ST04,373,367,6,450,1.057636887608069,20,77.80979827089337,48.93333333333333
TG00050,2026-01-27,B,ACT-200,330,ST04,333,329,4,450,0.996969696969697,-1,81.81818181818181,43.86666666666667
TG00051,2026-01-27,C,ACT-100,347,ST04,297,287,10,450,0.8270893371757925,-60,77.80979827089337,38.266666666666666
TG00052,2026-01-28,A,ACT-200,330,ST04,348,344,4,450,1.0424242424242425,14,81.81818181818181,45.86666666666667
TG00053,2026-01-28,B,ACT-100,347,ST04,346,342,4,450,0.9855907780979827,-5,77.80979827089337,45.6
TG00054,2026-01-28,C,ACT-100,347,ST04,329,321,8,450,0.9250720461095101,-26,77.80979827089337,42.8
TG00055,2026-01-29,A,ACT-100,347,ST04,345,337,8,450,0.9711815561959655,-10,77.80979827089337,44.93333333333333
TG00056,2026-01-29,B,ACT-300,300,ST04,313,306,7,450,1.02,6,90.0,40.8
TG00057,2026-01-29,C,ACT-200,330,ST04,295,289,6,450,0.8757575757575757,-41,81.81818181818181,38.53333333333333
TG00058,2026-01-30,A,ACT-200,330,ST04,340,333,7,450,1.009090909090909,3,81.81818181818181,44.4
TG00059,2026-01-30,B,ACT-100,347,ST04,330,322,8,450,0.9279538904899135,-25,77.80979827089337,42.93333333333333
TG00060,2026-01-30,C,ACT-100,347,ST04,313,311,2,450,0.8962536023054755,-36,77.80979827089337,41.46666666666667
TG00061,2026-02-02,A,ACT-100,347,ST04,361,356,5,450,1.0259365994236311,9,77.80979827089337,47.46666666666667
TG00062,2026-02-02,B,ACT-100,347,ST04,359,356,3,450,1.0259365994236311,9,77.80979827089337,47.46666666666667
TG00063,2026-02-02,C,ACT-200,330,ST04,284,266,18,450,0.806060606060606,-64,81.81818181818181,35.46666666666667
TG00064,2026-02-03,A,ACT-300,300,ST04,322,316,6,450,1.0533333333333332,16,90.0,42.13333333333333
TG00065,2026-02-03,B,ACT-100,347,ST04,351,345,6,450,0.9942363112391931,-2,77.80979827089337,46.0
TG00066,2026-02-03,C,ACT-200,330,ST04,307,299,8,450,0.906060606060606,-31,81.81818181818181,39.86666666666667
TG00067,2026-02-04,A,ACT-100,347,ST04,375,367,8,450,1.057636887608069,20,77.80979827089337,48.93333333333333
TG00068,2026-02-04,B,ACT-100,347,ST04,335,331,4,450,0.9538904899135446,-16,77.80979827089337,44.13333333333333
TG00069,2026-02-04,C,ACT-300,300,ST04,290,279,11,450,0.93,-21,90.0,37.2
TG00070,2026-02-05,A,ACT-100,347,ST04,377,368,9,450,1.0605187319884726,21,77.80979827089337,49.06666666666667
TG00071,2026-02-05,B,ACT-100,347,ST04,346,338,8,450,0.9740634005763689,-9,77.80979827089337,45.06666666666667
TG00072,2026-02-05,C,ACT-100,347,ST04,327,321,6,450,0.9250720461095101,-26,77.80979827089337,42.8
TG00073,2026-02-06,A,ACT-100,347,ST04,358,352,6,450,1.0144092219020173,5,77.80979827089337,46.93333333333333
TG00074,2026-02-06,B,ACT-200,330,ST04,328,321,7,450,0.9727272727272728,-9,81.81818181818181,42.8
TG00075,2026-02-06,C,ACT-100,347,ST04,301,297,4,450,0.8559077809798271,-50,77.80979827089337,39.6
TG00076,2026-02-09,A,ACT-100,347,ST04,346,342,4,450,0.9855907780979827,-5,77.80979827089337,45.6
TG00077,2026-02-09,B,ACT-100,347,ST04,349,336,13,450,0.968299711815562,-11,77.80979827089337,44.8
TG00078,2026-02-09,C,ACT-100,347,ST04,296,292,4,450,0.8414985590778098,-55,77.80979827089337,38.93333333333333
TG00079,2026-02-10,A,ACT-100,347,ST04,359,351,8,450,1.0115273775216138,4,77.80979827089337,46.8
TG00080,2026-02-10,B,ACT-300,300,ST04,314,303,11,450,1.01,3,90.0,40.4
TG00081,2026-02-10,C,ACT-100,347,ST04,307,300,7,450,0.8645533141210374,-47,77.80979827089337,40.0
TG00082,2026-02-11,A,ACT-100,347,ST04,371,363,8,450,1.0461095100864553,16,77.80979827089337,48.4
TG00083,2026-02-11,B,ACT-100,347,ST04,360,354,6,450,1.0201729106628241,7,77.80979827089337,47.2
TG00084,2026-02-11,C,ACT-300,300,ST04,257,246,11,450,0.82,-54,90.0,32.8
TG00085,2026-02-12,A,ACT-100,347,ST04,367,357,10,450,1.0288184438040346,10,77.80979827089337,47.6
TG00086,2026-02-12,B,ACT-200,330,ST04,355,348,7,450,1.0545454545454545,18,81.81818181818181,46.4
TG00087,2026-02-12,C,ACT-100,347,ST04,302,294,8,450,0.8472622478386167,-53,77.80979827089337,39.2
TG00088,2026-02-13,A,ACT-100,347,ST04,362,357,5,450,1.0288184438040346,10,77.80979827089337,47.6
TG00089,2026-02-13,B,ACT-100,347,ST04,331,327,4,450,0.9423631123919308,-20,77.80979827089337,43.6
TG00090,2026-02-13,C,ACT-100,347,ST04,304,293,11,450,0.8443804034582133,-54,77.80979827089337,39.06666666666667
