record_id,timestamp,date,shift,station_id,product_id,planned_minutes,downtime_minutes,runtime_minutes,ideal_cycle_sec,actual_cycle_sec,total_quantity,good_quantity,rejected_quantity,machine_status,operator_team,downtime_id
PR0000039,2026-01-05 08:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000040,2026-01-05 08:15:00,2026-01-05,A,ST02,ACT-100,15,13.5,1.5,57.0,58.32,1,1,0,Downtime,Team-A,DT000002
PR0000041,2026-01-05 08:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.76,15,15,0,Running,Team-A,
PR0000042,2026-01-05 08:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000043,2026-01-05 09:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000044,2026-01-05 09:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.79,15,15,0,Running,Team-A,
PR0000045,2026-01-05 09:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000046,2026-01-05 09:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.7,15,15,0,Running,Team-A,
PR0000047,2026-01-05 10:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.32,15,15,0,Running,Team-A,
PR0000048,2026-01-05 10:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.21,15,15,0,Running,Team-A,
PR0000049,2026-01-05 10:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.5,15,15,0,Running,Team-A,
PR0000050,2026-01-05 10:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.89,15,15,0,Running,Team-A,
PR0000051,2026-01-05 11:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.6,15,15,0,Running,Team-A,
PR0000052,2026-01-05 11:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.34,15,15,0,Running,Team-A,
PR0000053,2026-01-05 11:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.25,15,15,0,Running,Team-A,
PR0000054,2026-01-05 11:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000055,2026-01-05 12:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000056,2026-01-05 12:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.39,15,14,1,Running,Team-A,
PR0000057,2026-01-05 12:30:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,14,1,Running,Team-A,
PR0000058,2026-01-05 12:45:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,58.05,15,15,0,Running,Team-A,
PR0000059,2026-01-05 13:00:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000060,2026-01-05 13:15:00,2026-01-05,A,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-A,
PR0000061,2026-01-05 06:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,61.43,14,13,1,Running,Team-A,
PR0000062,2026-01-05 06:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.93,15,15,0,Running,Team-A,
PR0000063,2026-01-05 06:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.31,14,13,1,Running,Team-A,
PR0000064,2026-01-05 06:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.23,14,13,1,Running,Team-A,
PR0000065,2026-01-05 07:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.2,14,14,0,Running,Team-A,
PR0000066,2026-01-05 07:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.11,14,14,0,Running,Team-A,
PR0000067,2026-01-05 07:30:00,2026-01-05,A,ST03,ACT-100,15,13.5,1.5,59.85,59.85,1,1,0,Downtime,Team-A,DT000003
PR0000068,2026-01-05 07:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.97,15,15,0,Running,Team-A,
PR0000069,2026-01-05 08:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.67,14,14,0,Running,Team-A,
PR0000070,2026-01-05 08:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,
PR0000071,2026-01-05 08:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.87,15,15,0,Running,Team-A,
PR0000072,2026-01-05 08:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.51,14,14,0,Running,Team-A,
PR0000073,2026-01-05 09:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,
PR0000074,2026-01-05 09:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.34,14,14,0,Running,Team-A,
PR0000075,2026-01-05 09:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.41,14,14,0,Running,Team-A,
PR0000076,2026-01-05 09:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.32,14,14,0,Running,Team-A,
PR0000077,2026-01-05 10:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,
PR0000078,2026-01-05 10:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.65,14,14,0,Running,Team-A,
PR0000079,2026-01-05 10:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.16,14,14,0,Running,Team-A,
PR0000080,2026-01-05 10:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,61.83,14,14,0,Running,Team-A,
PR0000081,2026-01-05 11:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,
PR0000082,2026-01-05 11:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.94,15,15,0,Running,Team-A,
PR0000083,2026-01-05 11:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.88,14,14,0,Running,Team-A,
PR0000084,2026-01-05 11:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.96,15,15,0,Running,Team-A,
PR0000085,2026-01-05 12:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,15,0,Running,Team-A,
PR0000086,2026-01-05 12:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,60.16,14,13,1,Running,Team-A,
PR0000087,2026-01-05 12:30:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,61.27,14,13,1,Running,Team-A,
PR0000088,2026-01-05 12:45:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,62.02,14,14,0,Running,Team-A,
PR0000089,2026-01-05 13:00:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,14,1,Running,Team-A,
PR0000090,2026-01-05 13:15:00,2026-01-05,A,ST03,ACT-100,15,0.0,15.0,59.85,59.85,15,14,1,Running,Team-A,
PR0000091,2026-01-05 06:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,
PR0000092,2026-01-05 06:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.85,13,13,0,Running,Team-A,
PR0000093,2026-01-05 06:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,
PR0000094,2026-01-05 06:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,
PR0000095,2026-01-05 07:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.46,12,12,0,Running,Team-A,
PR0000096,2026-01-05 07:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,
PR0000097,2026-01-05 07:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,
PR0000098,2026-01-05 07:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,71.43,12,12,0,Running,Team-A,
PR0000099,2026-01-05 08:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,
PR0000100,2026-01-05 08:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.75,13,13,0,Running,Team-A,
PR0000101,2026-01-05 08:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.37,12,11,1,Running,Team-A,
PR0000102,2026-01-05 08:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,
PR0000103,2026-01-05 09:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,
PR0000104,2026-01-05 09:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,71.08,12,12,0,Running,Team-A,
PR0000105,2026-01-05 09:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.57,12,12,0,Running,Team-A,
PR0000106,2026-01-05 09:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,69.72,12,12,0,Running,Team-A,
PR0000107,2026-01-05 10:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.52,13,11,2,Running,Team-A,
PR0000108,2026-01-05 10:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.08,12,11,1,Running,Team-A,
PR0000109,2026-01-05 10:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,
PR0000110,2026-01-05 10:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,71.58,12,12,0,Running,Team-A,
PR0000111,2026-01-05 11:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,13,0,Running,Team-A,
PR0000112,2026-01-05 11:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.07,12,12,0,Running,Team-A,
PR0000113,2026-01-05 11:30:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,
PR0000114,2026-01-05 11:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,69.02,13,12,1,Running,Team-A,
PR0000115,2026-01-05 12:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,69.67,12,12,0,Running,Team-A,
PR0000116,2026-01-05 12:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,70.93,12,12,0,Running,Team-A,
PR0000117,2026-01-05 12:30:00,2026-01-05,A,ST04,ACT-100,15,13.5,1.5,68.4,68.91,1,1,0,Downtime,Team-A,DT000004
PR0000118,2026-01-05 12:45:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,
PR0000119,2026-01-05 13:00:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,12,1,Running,Team-A,
PR0000120,2026-01-05 13:15:00,2026-01-05,A,ST04,ACT-100,15,0.0,15.0,68.4,68.4,13,11,2,Running,Team-A,
PR0000121,2026-01-05 06:00:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000122,2026-01-05 06:15:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000123,2026-01-05 06:30:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000124,2026-01-05 06:45:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000125,2026-01-05 07:00:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,62.36,14,14,0,Running,Team-A,
PR0000126,2026-01-05 07:15:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,61.05,14,14,0,Running,Team-A,
PR0000127,2026-01-05 07:30:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000128,2026-01-05 07:45:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000129,2026-01-05 08:00:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,61.1,14,14,0,Running,Team-A,
PR0000130,2026-01-05 08:15:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000131,2026-01-05 08:30:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000132,2026-01-05 08:45:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,62.01,14,14,0,Running,Team-A,
PR0000133,2026-01-05 09:00:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000134,2026-01-05 09:15:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000135,2026-01-05 09:30:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,61.94,14,14,0,Running,Team-A,
PR0000136,2026-01-05 09:45:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000137,2026-01-05 10:00:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000138,2026-01-05 10:15:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000139,2026-01-05 10:30:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000140,2026-01-05 10:45:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.86,14,14,0,Running,Team-A,
PR0000141,2026-01-05 11:00:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,62.09,14,14,0,Running,Team-A,
PR0000142,2026-01-05 11:15:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000143,2026-01-05 11:30:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000144,2026-01-05 11:45:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000145,2026-01-05 12:00:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000146,2026-01-05 12:15:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.92,14,14,0,Running,Team-A,
PR0000147,2026-01-05 12:30:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000148,2026-01-05 12:45:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000149,2026-01-05 13:00:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000150,2026-01-05 13:15:00,2026-01-05,A,ST05,ACT-100,15,0.0,15.0,60.8,60.8,14,14,0,Running,Team-A,
PR0000151,2026-01-05 14:00:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,65.43,13,13,0,Running,Team-B,
PR0000152,2026-01-05 14:15:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,67.01,13,13,0,Running,Team-B,
PR0000153,2026-01-05 14:30:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.91,14,14,0,Running,Team-B,
PR0000154,2026-01-05 14:45:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.18,14,13,1,Running,Team-B,
PR0000155,2026-01-05 15:00:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,64.39,13,13,0,Running,Team-B,
PR0000156,2026-01-05 15:15:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.87,14,13,1,Running,Team-B,
PR0000157,2026-01-05 15:30:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,64.75,13,12,1,Running,Team-B,
PR0000158,2026-01-05 15:45:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-B,
PR0000159,2026-01-05 16:00:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.73,14,14,0,Running,Team-B,
PR0000160,2026-01-05 16:15:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-B,
PR0000161,2026-01-05 16:30:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.85,14,14,0,Running,Team-B,
PR0000162,2026-01-05 16:45:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-B,
PR0000163,2026-01-05 17:00:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,65.56,13,13,0,Running,Team-B,
PR0000164,2026-01-05 17:15:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.03,14,14,0,Running,Team-B,
PR0000165,2026-01-05 17:30:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,64.88,13,12,1,Running,Team-B,
PR0000166,2026-01-05 17:45:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.63,14,14,0,Running,Team-B,
PR0000167,2026-01-05 18:00:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,64.09,14,14,0,Running,Team-B,
PR0000168,2026-01-05 18:15:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.71,14,13,1,Running,Team-B,
PR0000169,2026-01-05 18:30:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,64.58,13,13,0,Running,Team-B,
PR0000170,2026-01-05 18:45:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.28,14,13,1,Running,Team-B,
PR0000171,2026-01-05 19:00:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-B,
PR0000172,2026-01-05 19:15:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-B,
PR0000173,2026-01-05 19:30:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,65.28,13,12,1,Running,Team-B,
PR0000174,2026-01-05 19:45:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,13,1,Running,Team-B,
PR0000175,2026-01-05 20:00:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,64.5,13,13,0,Running,Team-B,
PR0000176,2026-01-05 20:15:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.29,14,13,1,Running,Team-B,
PR0000177,2026-01-05 20:30:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,65.28,13,13,0,Running,Team-B,
PR0000178,2026-01-05 20:45:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,13,1,Running,Team-B,
PR0000179,2026-01-05 21:00:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,63.52,14,13,1,Running,Team-B,
PR0000180,2026-01-05 21:15:00,2026-01-05,B,ST01,ACT-100,15,0.0,15.0,62.7,62.7,14,14,0,Running,Team-B,
PR0000181,2026-01-05 14:00:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,58.74,15,15,0,Running,Team-B,
PR0000182,2026-01-05 14:15:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,60.87,14,13,1,Running,Team-B,
PR0000183,2026-01-05 14:30:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,59.09,15,15,0,Running,Team-B,
PR0000184,2026-01-05 14:45:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,58.06,15,15,0,Running,Team-B,
PR0000185,2026-01-05 15:00:00,2026-01-05,B,ST02,ACT-100,15,3.99,11.01,57.0,58.84,11,11,0,Downtime,Team-B,DT000005
PR0000186,2026-01-05 15:15:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,58.47,15,15,0,Running,Team-B,
PR0000187,2026-01-05 15:30:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,14,1,Running,Team-B,
PR0000188,2026-01-05 15:45:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,57.96,15,14,1,Running,Team-B,
PR0000189,2026-01-05 16:00:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,57.0,15,15,0,Running,Team-B,
PR0000190,2026-01-05 16:15:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,60.36,14,14,0,Running,Team-B,
PR0000191,2026-01-05 16:30:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,59.34,15,15,0,Running,Team-B,
PR0000192,2026-01-05 16:45:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,58.25,15,15,0,Running,Team-B,
PR0000193,2026-01-05 17:00:00,2026-01-05,B,ST02,ACT-100,15,0.0,15.0,57.0,57.78,15,15,0,Running,Team-B,
