downtime_id,station_id,start_time,end_time,duration_min,shift,category,failure_type,planned_flag,maintenance_required,product_id
DT000021,ST05,2026-01-06 01:33:43.720134819,2026-01-06 01:34:59.920134819,1.27,C,Micro Stop,Packaging Micro Stop,False,False,ACT-100
DT000022,ST05,2026-01-06 02:33:58.259199383,2026-01-06 02:47:28.259199383,13.5,C,Material,Packaging Material Shortage,False,True,ACT-100
DT000023,ST02,2026-01-06 07:48:35.806086710,2026-01-06 08:02:05.806086710,13.5,A,Sensor/Control,Part Presence Sensor,False,True,ACT-300
DT000024,ST03,2026-01-06 06:49:16.708828151,2026-01-06 07:02:46.708828151,13.5,A,Quality,Inspection Calibration,False,True,ACT-300
DT000025,ST03,2026-01-06 10:00:11.016408750,2026-01-06 10:11:45.216408750,11.57,A,Sensor/Control,Vision System Fault,False,True,ACT-300
DT000026,ST05,2026-01-06 08:48:42.142839586,2026-01-06 08:52:12.142839586,3.5,A,Micro Stop,Packaging Micro Stop,False,False,ACT-300
DT000027,ST05,2026-01-06 13:01:22.850867346,2026-01-06 13:07:19.250867346,5.94,A,Material,Packaging Material Shortage,False,False,ACT-300
DT000028,ST05,2026-01-06 13:16:34.881044918,2026-01-06 13:30:04.881044918,13.5,A,Equipment Failure,Packaging Jam,False,True,ACT-300
DT000029,ST02,2026-01-06 15:03:09.276537068,2026-01-06 15:08:39.276537068,5.5,B,Equipment Failure,Robot Position Fault,False,False,ACT-100
DT000030,ST02,2026-01-06 18:16:08.603033881,2026-01-06 18:29:38.603033881,13.5,B,Equipment Failure,Gripper Fault,False,True,ACT-100
DT000031,ST03,2026-01-06 15:30:00.003490426,2026-01-06 15:43:30.003490426,13.5,B,Sensor/Control,Vision System Fault,False,True,ACT-100
DT000032,ST04,2026-01-06 18:02:15.076273842,2026-01-06 18:15:28.276273842,13.22,B,Quality,Functional Test Failure,False,True,ACT-100
DT000033,ST01,2026-01-07 00:17:25.196810453,2026-01-07 00:30:55.196810453,13.5,C,Equipment Failure,Spindle Fault,False,True,ACT-200
DT000034,ST01,2026-01-07 04:34:23.755731780,2026-01-07 04:40:43.555731780,6.33,C,Tooling,Tool Wear,False,False,ACT-200
DT000035,ST02,2026-01-06 23:17:49.018605213,2026-01-06 23:31:19.018605213,13.5,C,Sensor/Control,Communication Fault,False,True,ACT-200
DT000036,ST02,2026-01-07 02:03:29.891870886,2026-01-07 02:16:59.891870886,13.5,C,Sensor/Control,Communication Fault,False,True,ACT-200
DT000037,ST02,2026-01-07 03:03:02.054086662,2026-01-07 03:11:42.254086662,8.67,C,Equipment Failure,Gripper Fault,False,True,ACT-200
DT000038,ST05,2026-01-07 05:18:26.413667122,2026-01-07 05:31:56.413667122,13.5,C,Material,Packaging Material Shortage,False,True,ACT-200
DT000039,ST01,2026-01-07 07:45:12.077400902,2026-01-07 07:54:48.077400902,9.6,A,Tooling,Tool Change,False,True,ACT-300
DT000040,ST02,2026-01-07 11:31:16.344399485,2026-01-07 11:44:46.344399485,13.5,A,Sensor/Control,Part Presence Sensor,False,True,ACT-300
DT000041,ST04,2026-01-07 06:49:04.316033780,2026-01-07 06:50:19.916033780,1.26,A,Micro Stop,Assembly Micro Stop,False,False,ACT-300
DT000042,ST04,2026-01-07 11:32:03.236642999,2026-01-07 11:45:33.236642999,13.5,A,Changeover,Product Changeover,False,True,ACT-300
DT000043,ST05,2026-01-07 09:33:40.382490213,2026-01-07 09:47:10.382490213,13.5,A,Sensor/Control,Label Sensor Fault,False,True,ACT-300
DT000044,ST02,2026-01-07 15:47:09.160746273,2026-01-07 16:00:39.160746273,13.5,B,Sensor/Control,Communication Fault,False,True,ACT-100
DT000045,ST03,2026-01-07 18:01:32.303726843,2026-01-07 18:10:40.103726843,9.13,B,Sensor/Control,Measurement Sensor Fault,False,True,ACT-100
DT000046,ST04,2026-01-07 14:48:18.993212851,2026-01-07 14:50:07.593212851,1.81,B,Micro Stop,Assembly Micro Stop,False,False,ACT-100
DT000047,ST04,2026-01-07 19:47:25.505396257,2026-01-07 20:00:55.505396257,13.5,B,Quality,Functional Test Failure,False,True,ACT-100
DT000048,ST04,2026-01-07 21:00:35.391745088,2026-01-07 21:14:05.391745088,13.5,B,Material,Component Shortage,False,True,ACT-100
DT000049,ST01,2026-01-07 22:30:11.520263197,2026-01-07 22:43:41.520263197,13.5,C,Sensor/Control,Coolant Sensor Alarm,False,True,ACT-200
DT000050,ST01,2026-01-08 01:45:40.330028210,2026-01-08 01:59:10.330028210,13.5,C,Equipment Failure,Spindle Fault,False,True,ACT-200
DT000051,ST01,2026-01-08 04:15:00.000000000,2026-01-08 04:25:40.487099541,10.67,C,Maintenance,Planned Maintenance,True,True,ACT-200
DT000052,ST02,2026-01-08 02:16:03.290967185,2026-01-08 02:29:33.290967185,13.5,C,Sensor/Control,Part Presence Sensor,False,True,ACT-200
DT000053,ST02,2026-01-08 02:31:05.276381979,2026-01-08 02:44:35.276381979,13.5,C,Sensor/Control,Communication Fault,False,True,ACT-200
DT000054,ST03,2026-01-08 03:03:30.449730439,2026-01-08 03:17:00.449730439,13.5,C,Sensor/Control,Measurement Sensor Fault,False,True,ACT-200
DT000055,ST04,2026-01-07 22:01:42.718536988,2026-01-07 22:15:12.718536988,13.5,C,Changeover,Product Changeover,False,True,ACT-200
DT000056,ST04,2026-01-07 22:46:38.021667170,2026-01-07 23:00:08.021667170,13.5,C,Quality,Functional Test Failure,False,True,ACT-200
DT000057,ST04,2026-01-08 00:48:33.666061553,2026-01-08 01:00:03.066061553,11.49,C,Quality,Functional Test Failure,False,True,ACT-200
DT000058,ST04,2026-01-08 04:32:50.849177555,2026-01-08 04:46:20.849177555,13.5,C,Quality,Functional Test Failure,False,True,ACT-200
DT000059,ST05,2026-01-08 02:46:03.452024784,2026-01-08 02:48:01.652024784,1.97,C,Micro Stop,Packaging Micro Stop,False,False,ACT-200
DT000060,ST05,2026-01-08 03:17:16.618471574,2026-01-08 03:30:46.618471574,13.5,C,Equipment Failure,Packaging Jam,False,True,ACT-200
DT000061,ST05,2026-01-08 03:32:12.808110590,2026-01-08 03:45:42.808110590,13.5,C,Sensor/Control,Label Sensor Fault,False,True,ACT-200
DT000062,ST04,2026-01-08 09:17:32.611795264,2026-01-08 09:31:02.611795264,13.5,A,Changeover,Product Changeover,False,True,ACT-300
DT000063,ST04,2026-01-08 12:04:50.359369785,2026-01-08 12:18:20.359369785,13.5,A,Changeover,Product Changeover,False,True,ACT-300
DT000064,ST04,2026-01-08 12:18:08.551170025,2026-01-08 12:31:38.551170025,13.5,A,Material,Component Shortage,False,True,ACT-300
DT000065,ST01,2026-01-08 14:18:20.794624909,2026-01-08 14:31:29.194624909,13.14,B,Equipment Failure,Spindle Fault,False,True,ACT-300
DT000066,ST01,2026-01-08 16:30:00.000000000,2026-01-08 16:35:32.974144750,5.55,B,Maintenance,Planned Maintenance,True,True,ACT-300
DT000067,ST01,2026-01-08 19:00:59.900921412,2026-01-08 19:14:29.900921412,13.5,B,Equipment Failure,Spindle Fault,False,True,ACT-300
DT000068,ST02,2026-01-08 15:03:10.134985424,2026-01-08 15:16:40.134985424,13.5,B,Equipment Failure,Robot Position Fault,False,True,ACT-300
DT000069,ST03,2026-01-08 20:15:15.704153529,2026-01-08 20:28:45.704153529,13.5,B,Quality,Inspection Calibration,False,True,ACT-300
DT000070,ST04,2026-01-08 15:32:14.031647651,2026-01-08 15:45:44.031647651,13.5,B,Changeover,Product Changeover,False,True,ACT-300
DT000071,ST04,2026-01-08 21:04:23.475740319,2026-01-08 21:17:53.475740319,13.5,B,Material,Component Shortage,False,True,ACT-300
DT000072,ST01,2026-01-09 05:16:30.984307819,2026-01-09 05:19:29.184307819,2.97,C,Micro Stop,Minor CNC Stop,False,False,ACT-200
DT000073,ST02,2026-01-08 22:03:16.472136944,2026-01-08 22:04:33.872136944,1.29,C,Micro Stop,Robot Micro Stop,False,False,ACT-200
DT000074,ST02,2026-01-08 22:33:41.445226452,2026-01-08 22:46:50.445226452,13.15,C,Equipment Failure,Robot Position Fault,False,True,ACT-200
DT000075,ST02,2026-01-09 02:16:23.465156120,2026-01-09 02:29:53.465156120,13.5,C,Sensor/Control,Communication Fault,False,True,ACT-200
DT000076,ST03,2026-01-09 02:04:06.172931800,2026-01-09 02:17:36.172931800,13.5,C,Sensor/Control,Vision System Fault,False,True,ACT-200
DT000077,ST04,2026-01-08 22:15:00.000000000,2026-01-08 22:20:50.466888668,5.84,C,Maintenance,Planned Maintenance,True,True,ACT-200
DT000078,ST04,2026-01-09 05:18:48.609816311,2026-01-09 05:32:18.609816311,13.5,C,Material,Component Shortage,False,True,ACT-200
DT000079,ST05,2026-01-08 22:45:41.916170093,2026-01-08 22:49:58.116170093,4.27,C,Micro Stop,Packaging Micro Stop,False,False,ACT-200
DT000080,ST05,2026-01-08 23:18:10.154945620,2026-01-08 23:19:37.154945620,1.45,C,Micro Stop,Packaging Micro Stop,False,False,ACT-200
DT000081,ST05,2026-01-09 03:01:10.074130266,2026-01-09 03:02:53.274130266,1.72,C,Micro Stop,Packaging Micro Stop,False,False,ACT-200
DT000082,ST05,2026-01-09 03:30:31.018480989,2026-01-09 03:38:13.018480989,7.7,C,Equipment Failure,Packaging Jam,False,False,ACT-200
DT000083,ST01,2026-01-09 07:19:42.053950418,2026-01-09 07:25:10.853950418,5.48,A,Tooling,Tool Change,False,False,ACT-200
DT000084,ST01,2026-01-09 09:45:00.000000000,2026-01-09 09:51:42.815946660,6.71,A,Maintenance,Planned Maintenance,True,True,ACT-200
DT000085,ST01,2026-01-09 13:04:54.795723448,2026-01-09 13:18:24.795723448,13.5,A,Tooling,Tool Wear,False,True,ACT-200
DT000086,ST02,2026-01-09 08:03:11.007874307,2026-01-09 08:16:41.007874307,13.5,A,Sensor/Control,Communication Fault,False,True,ACT-200
DT000087,ST03,2026-01-09 08:31:36.280631495,2026-01-09 08:45:06.280631495,13.5,A,Sensor/Control,Measurement Sensor Fault,False,True,ACT-200
DT000088,ST03,2026-01-09 12:17:31.964999972,2026-01-09 12:31:01.964999972,13.5,A,Quality,Inspection Calibration,False,True,ACT-200
DT000089,ST04,2026-01-09 10:16:41.324399020,2026-01-09 10:25:15.524399020,8.57,A,Material,Component Shortage,False,True,ACT-200
DT000090,ST05,2026-01-09 08:46:53.987985677,2026-01-09 09:00:23.987985677,13.5,A,Equipment Failure,Packaging Jam,False,True,ACT-200
DT000091,ST02,2026-01-09 18:19:48.861148200,2026-01-09 18:33:18.861148200,13.5,B,Sensor/Control,Part Presence Sensor,False,True,ACT-200
DT000092,ST02,2026-01-09 19:01:26.849359535,2026-01-09 19:14:56.849359535,13.5,B,Sensor/Control,Communication Fault,False,True,ACT-200
DT000093,ST03,2026-01-09 17:32:00.585577384,2026-01-09 17:43:39.585577384,11.65,B,Sensor/Control,Vision System Fault,False,True,ACT-200
DT000094,ST03,2026-01-09 18:49:36.059095822,2026-01-09 19:03:06.059095822,13.5,B,Sensor/Control,Measurement Sensor Fault,False,True,ACT-200
DT000095,ST03,2026-01-09 20:32:49.667244967,2026-01-09 20:46:19.667244967,13.5,B,Quality,Inspection Calibration,False,True,ACT-200
DT000096,ST04,2026-01-09 14:03:26.910460458,2026-01-09 14:16:56.910460458,13.5,B,Equipment Failure,Fixture Fault,False,True,ACT-200
DT000097,ST04,2026-01-09 17:45:00.000000000,2026-01-09 17:53:57.224048412,8.95,B,Maintenance,Planned Maintenance,True,True,ACT-200
DT000098,ST04,2026-01-09 18:32:57.574321325,2026-01-09 18:46:27.574321325,13.5,B,Quality,Functional Test Failure,False,True,ACT-200
DT000099,ST01,2026-01-09 23:30:59.961892394,2026-01-09 23:44:29.961892394,13.5,C,Equipment Failure,Spindle Fault,False,True,ACT-100
DT000100,ST01,2026-01-09 23:45:34.183580833,2026-01-09 23:58:21.583580833,12.79,C,Tooling,Tool Wear,False,True,ACT-100
DT000101,ST02,2026-01-10 03:01:14.006528923,2026-01-10 03:02:38.606528923,1.41,C,Micro Stop,Robot Micro Stop,False,False,ACT-100
DT000102,ST02,2026-01-10 04:17:26.500473901,2026-01-10 04:30:56.500473901,13.5,C,Equipment Failure,Robot Position Fault,False,True,ACT-100
DT000103,ST03,2026-01-09 23:15:00.000000000,2026-01-09 23:25:00.399478462,10.01,C,Maintenance,Planned Maintenance,True,True,ACT-100
DT000104,ST04,2026-01-10 01:15:13.171384089,2026-01-10 01:28:43.171384089,13.5,C,Changeover,Product Changeover,False,True,ACT-100
DT000105,ST04,2026-01-10 03:32:25.077914431,2026-01-10 03:38:55.077914431,6.5,C,Equipment Failure,Fixture Fault,False,False,ACT-100
DT000106,ST04,2026-01-10 05:00:14.255327162,2026-01-10 05:13:44.255327162,13.5,C,Equipment Failure,Fixture Fault,False,True,ACT-100
DT000107,ST05,2026-01-09 22:32:46.182520156,2026-01-09 22:46:16.182520156,13.5,C,Sensor/Control,Label Sensor Fault,False,True,ACT-100
DT000108,ST01,2026-01-12 12:02:47.515343271,2026-01-12 12:10:01.315343271,7.23,A,Tooling,Tool Wear,False,False,ACT-100
DT000109,ST01,2026-01-12 12:16:38.444154154,2026-01-12 12:22:33.044154154,5.91,A,Equipment Failure,Spindle Fault,False,False,ACT-100
DT000110,ST02,2026-01-12 10:33:47.845970756,2026-01-12 10:47:17.845970756,13.5,A,Sensor/Control,Part Presence Sensor,False,True,ACT-100
DT000111,ST02,2026-01-12 11:01:18.063410380,2026-01-12 11:09:19.263410380,8.02,A,Equipment Failure,Robot Position Fault,False,True,ACT-100
DT000112,ST02,2026-01-12 11:34:28.531867719,2026-01-12 11:38:06.331867718,3.63,A,Micro Stop,Robot Micro Stop,False,False,ACT-100
DT000113,ST02,2026-01-12 13:15:44.440176604,2026-01-12 13:27:38.440176604,11.9,A,Sensor/Control,Part Presence Sensor,False,True,ACT-100
DT000114,ST03,2026-01-12 08:45:28.272919921,2026-01-12 08:58:58.272919921,13.5,A,Quality,Inspection Calibration,False,True,ACT-100
DT000115,ST04,2026-01-12 09:15:12.146347298,2026-01-12 09:28:42.146347298,13.5,A,Changeover,Product Changeover,False,True,ACT-100
DT000116,ST03,2026-01-12 14:30:03.346376193,2026-01-12 14:41:27.946376193,11.41,B,Sensor/Control,Vision System Fault,False,True,ACT-300
DT000117,ST03,2026-01-12 16:32:47.329427729,2026-01-12 16:46:17.329427729,13.5,B,Sensor/Control,Measurement Sensor Fault,False,True,ACT-300
DT000118,ST03,2026-01-12 18:03:58.248812651,2026-01-12 18:17:28.248812651,13.5,B,Sensor/Control,Measurement Sensor Fault,False,True,ACT-300
DT000119,ST03,2026-01-12 18:33:55.995754822,2026-01-12 18:47:25.995754822,13.5,B,Quality,Inspection Calibration,False,True,ACT-300
DT000120,ST03,2026-01-12 20:47:37.277378371,2026-01-12 20:51:21.077378371,3.73,B,Micro Stop,Inspection Micro Stop,False,False,ACT-300
DT000121,ST05,2026-01-12 17:32:04.713392744,2026-01-12 17:37:24.513392744,5.33,B,Sensor/Control,Label Sensor Fault,False,False,ACT-300
DT000122,ST01,2026-01-12 23:31:59.742498328,2026-01-12 23:45:29.742498328,13.5,C,Tooling,Tool Change,False,True,ACT-300
DT000123,ST01,2026-01-13 04:33:33.116294231,2026-01-13 04:41:44.516294231,8.19,C,Tooling,Tool Wear,False,True,ACT-300
DT000124,ST02,2026-01-13 01:19:44.185296926,2026-01-13 01:21:34.585296926,1.84,C,Micro Stop,Robot Micro Stop,False,False,ACT-300
DT000125,ST02,2026-01-13 02:30:42.685865583,2026-01-13 02:44:12.685865583,13.5,C,Equipment Failure,Robot Position Fault,False,True,ACT-300
DT000126,ST02,2026-01-13 05:18:59.779789787,2026-01-13 05:32:29.779789787,13.5,C,Equipment Failure,Robot Position Fault,False,True,ACT-300
DT000127,ST04,2026-01-13 03:03:46.312786657,2026-01-13 03:12:58.912786657,9.21,C,Quality,Functional Test Failure,False,True,ACT-300
DT000128,ST05,2026-01-13 00:02:54.125449734,2026-01-13 00:05:17.525449734,2.39,C,Micro Stop,Packaging Micro Stop,False,False,ACT-300
DT000129,ST01,2026-01-13 06:00:00.000000000,2026-01-13 06:05:17.968972663,5.3,A,Maintenance,Planned Maintenance,True,True,ACT-300
DT000130,ST01,2026-01-13 07:31:06.366454254,2026-01-13 07:43:17.166454254,12.18,A,Equipment Failure,Spindle Fault,False,True,ACT-300
DT000131,ST01,2026-01-13 08:30:00.000000000,2026-01-13 08:41:56.638743786,11.94,A,Maintenance,Planned Maintenance,True,True,ACT-300
DT000132,ST01,2026-01-13 11:18:21.198994800,2026-01-13 11:31:51.198994800,13.5,A,Sensor/Control,Coolant Sensor Alarm,False,True,ACT-300
DT000133,ST01,2026-01-13 12:33:56.790134732,2026-01-13 12:47:26.790134732,13.5,A,Tooling,Tool Change,False,True,ACT-300
DT000134,ST02,2026-01-13 06:01:13.151729908,2026-01-13 06:09:32.951729908,8.33,A,Sensor/Control,Part Presence Sensor,False,True,ACT-300
DT000135,ST02,2026-01-13 07:31:00.946181156,2026-01-13 07:33:49.546181156,2.81,A,Micro Stop,Robot Micro Stop,False,False,ACT-300
DT000136,ST02,2026-01-13 08:00:00.000000000,2026-01-13 08:05:08.830419032,5.15,A,Maintenance,Planned Maintenance,True,True,ACT-300
DT000137,ST02,2026-01-13 09:34:13.904633959,2026-01-13 09:47:43.904633959,13.5,A,Sensor/Control,Part Presence Sensor,False,True,ACT-300
DT000138,ST03,2026-01-13 12:47:08.864737056,2026-01-13 12:59:41.864737056,12.55,A,Sensor/Control,Vision System Fault,False,True,ACT-300
DT000139,ST04,2026-01-13 07:00:31.733672068,2026-01-13 07:14:01.733672068,13.5,A,Quality,Functional Test Failure,False,True,ACT-300
DT000140,ST02,2026-01-13 15:45:30.322947711,2026-01-13 15:59:00.322947711,13.5,B,Sensor/Control,Part Presence Sensor,False,True,ACT-100
DT000141,ST05,2026-01-13 14:16:33.006553864,2026-01-13 14:18:26.406553863,1.89,B,Micro Stop,Packaging Micro Stop,False,False,ACT-100
DT000142,ST05,2026-01-13 15:15:59.838806049,2026-01-13 15:29:29.838806049,13.5,B,Equipment Failure,Packaging Jam,False,True,ACT-100
DT000143,ST05,2026-01-13 17:00:22.483203809,2026-01-13 17:03:03.283203809,2.68,B,Micro Stop,Packaging Micro Stop,False,False,ACT-100
DT000144,ST01,2026-01-14 00:48:31.002286355,2026-01-14 01:02:01.002286355,13.5,C,Equipment Failure,Spindle Fault,False,True,ACT-200
DT000145,ST02,2026-01-13 23:16:11.078358453,2026-01-13 23:29:41.078358453,13.5,C,Sensor/Control,Part Presence Sensor,False,True,ACT-200
DT000146,ST02,2026-01-14 02:49:51.365636988,2026-01-14 03:03:11.765636988,13.34,C,Equipment Failure,Gripper Fault,False,True,ACT-200
DT000147,ST03,2026-01-13 23:01:29.203124262,2026-01-13 23:05:38.803124262,4.16,C,Micro Stop,Inspection Micro Stop,False,False,ACT-200
DT000148,ST03,2026-01-14 01:16:49.621839270,2026-01-14 01:20:14.821839270,3.42,C,Micro Stop,Inspection Micro Stop,False,False,ACT-200
DT000149,ST03,2026-01-14 02:02:17.831623985,2026-01-14 02:15:47.831623985,13.5,C,Sensor/Control,Vision System Fault,False,True,ACT-200
DT000150,ST03,2026-01-14 04:31:24.118253577,2026-01-14 04:44:54.118253577,13.5,C,Sensor/Control,Vision System Fault,False,True,ACT-200
DT000151,ST04,2026-01-13 22:18:54.279953937,2026-01-13 22:27:53.079953937,8.98,C,Quality,Functional Test Failure,False,True,ACT-200
DT000152,ST04,2026-01-14 04:15:02.867455844,2026-01-14 04:16:47.267455844,1.74,C,Micro Stop,Assembly Micro Stop,False,False,ACT-200
DT000153,ST05,2026-01-14 00:34:51.614689432,2026-01-14 00:48:21.614689432,13.5,C,Material,Packaging Material Shortage,False,True,ACT-200
DT000154,ST02,2026-01-14 07:03:49.319760768,2026-01-14 07:17:19.319760768,13.5,A,Equipment Failure,Robot Position Fault,False,True,ACT-300
DT000155,ST03,2026-01-14 06:34:05.831424537,2026-01-14 06:35:32.831424537,1.45,A,Micro Stop,Inspection Micro Stop,False,False,ACT-300
DT000156,ST03,2026-01-14 07:02:05.698105593,2026-01-14 07:10:05.098105593,7.99,A,Sensor/Control,Vision System Fault,False,False,ACT-300
DT000157,ST03,2026-01-14 10:16:57.383056622,2026-01-14 10:30:27.383056622,13.5,A,Sensor/Control,Measurement Sensor Fault,False,True,ACT-300
DT000158,ST03,2026-01-14 12:47:20.152240005,2026-01-14 13:00:50.152240005,13.5,A,Sensor/Control,Measurement Sensor Fault,False,True,ACT-300
DT000159,ST04,2026-01-14 07:03:33.781405276,2026-01-14 07:10:24.781405276,6.85,A,Material,Component Shortage,False,False,ACT-300
DT000160,ST04,2026-01-14 10:30:30.466981028,2026-01-14 10:37:27.466981028,6.95,A,Material,Component Shortage,False,False,ACT-300
DT000161,ST01,2026-01-14 19:31:48.477079926,2026-01-14 19:45:18.477079926,13.5,B,Tooling,Tool Wear,False,True,ACT-200
DT000162,ST02,2026-01-14 15:17:20.486570301,2026-01-14 15:24:32.486570301,7.2,B,Sensor/Control,Communication Fault,False,False,ACT-200
DT000163,ST03,2026-01-14 14:47:01.537822001,2026-01-14 15:00:31.537822001,13.5,B,Sensor/Control,Vision System Fault,False,True,ACT-200
DT000164,ST03,2026-01-14 16:19:34.262636904,2026-01-14 16:33:04.262636904,13.5,B,Sensor/Control,Measurement Sensor Fault,False,True,ACT-200
DT000165,ST04,2026-01-14 15:30:00.000000000,2026-01-14 15:37:09.336357218,7.16,B,Maintenance,Planned Maintenance,True,True,ACT-200
DT000166,ST01,2026-01-14 22:31:11.923251881,2026-01-14 22:40:07.723251880,8.93,C,Equipment Failure,Spindle Fault,False,True,ACT-100
DT000167,ST01,2026-01-15 00:45:55.921624220,2026-01-15 00:52:40.921624220,6.75,C,Tooling,Tool Wear,False,False,ACT-100
DT000168,ST02,2026-01-14 23:49:18.210609762,2026-01-15 00:02:48.210609762,13.5,C,Sensor/Control,Part Presence Sensor,False,True,ACT-100
DT000169,ST02,2026-01-15 02:46:48.644635044,2026-01-15 03:00:18.644635044,13.5,C,Equipment Failure,Robot Position Fault,False,True,ACT-100
DT000170,ST03,2026-01-14 23:16:58.512160704,2026-01-14 23:30:28.512160704,13.5,C,Quality,Inspection Calibration,False,True,ACT-100
DT000171,ST05,2026-01-15 04:18:48.434274638,2026-01-15 04:32:18.434274638,13.5,C,Equipment Failure,Packaging Jam,False,True,ACT-100
DT000172,ST01,2026-01-15 06:02:05.581555701,2026-01-15 06:15:35.581555701,13.5,A,Equipment Failure,Spindle Fault,False,True,ACT-100
DT000173,ST01,2026-01-15 06:30:00.000000000,2026-01-15 06:41:10.558059919,11.18,A,Maintenance,Planned Maintenance,True,True,ACT-100
DT000174,ST02,2026-01-15 12:16:51.277027532,2026-01-15 12:22:47.677027532,5.94,A,Equipment Failure,Gripper Fault,False,False,ACT-100
DT000175,ST03,2026-01-15 08:45:00.000000000,2026-01-15 08:50:00.138666888,5.0,A,Maintenance,Planned Maintenance,True,True,ACT-100
DT000176,ST03,2026-01-15 09:02:21.799418809,2026-01-15 09:04:01.999418808,1.67,A,Micro Stop,Inspection Micro Stop,False,False,ACT-100
DT000177,ST03,2026-01-15 11:18:11.801629050,2026-01-15 11:20:16.601629050,2.08,A,Micro Stop,Inspection Micro Stop,False,False,ACT-100
DT000178,ST04,2026-01-15 07:03:53.560611301,2026-01-15 07:09:24.760611301,5.52,A,Quality,Functional Test Failure,False,False,ACT-100
DT000179,ST05,2026-01-15 10:04:03.915362142,2026-01-15 10:14:56.115362141,10.87,A,Sensor/Control,Label Sensor Fault,False,True,ACT-100
DT000180,ST05,2026-01-15 13:00:00.000000000,2026-01-15 13:10:07.344250536,10.12,A,Maintenance,Planned Maintenance,True,True,ACT-100
DT000181,ST01,2026-01-15 14:46:16.307861641,2026-01-15 14:59:46.307861641,13.5,B,Tooling,Tool Wear,False,True,ACT-200
DT000182,ST01,2026-01-15 19:49:56.557400197,2026-01-15 19:56:22.357400196,6.43,B,Tooling,Tool Change,False,False,ACT-200
DT000183,ST02,2026-01-15 17:30:47.935668634,2026-01-15 17:38:55.735668634,8.13,B,Equipment Failure,Gripper Fault,False,True,ACT-200
DT000184,ST02,2026-01-15 20:03:12.410045767,2026-01-15 20:16:42.410045767,13.5,B,Equipment Failure,Robot Position Fault,False,True,ACT-200
DT000185,ST03,2026-01-15 16:03:46.361859808,2026-01-15 16:09:48.161859808,6.03,B,Sensor/Control,Vision System Fault,False,False,ACT-200
DT000186,ST03,2026-01-15 19:47:39.923646697,2026-01-15 20:01:09.923646697,13.5,B,Sensor/Control,Vision System Fault,False,True,ACT-200
